COVER_CAT_CD,analysis_group,strat_cora,ntot,n,avp,se_p
EUS FAST,NCRMP_GRP,CFK01,4718,10,0,0
GOR ENCR,NCRMP_GRP,CFK01,4718,10,0.005,0.023486296897600206
GOR GORG,NCRMP_GRP,CFK01,4718,10,0.019,0.045459987111167555
HAL SPE.,NCRMP_GRP,CFK01,4718,10,0.029000000000000005,0.05587616845587577
HEL CUCU,NCRMP_GRP,CFK01,4718,10,0,0
ISO SINU,NCRMP_GRP,CFK01,4718,10,0,0
LOB SPE.,NCRMP_GRP,CFK01,4718,10,0,0
MAC CALC,NCRMP_GRP,CFK01,4718,10,0.028000000000000004,0.05493259965130942
MAC FLES,NCRMP_GRP,CFK01,4718,10,0.20700000000000002,0.13490864194038588
MAD DECA,NCRMP_GRP,CFK01,4718,10,0,0
MAG SPE.,NCRMP_GRP,CFK01,4718,10,0.064,0.08149780565915449
MEA MEAN,NCRMP_GRP,CFK01,4718,10,0,0
MIL SPE.,NCRMP_GRP,CFK01,4718,10,0,0
MON CAVE,NCRMP_GRP,CFK01,4718,10,0,0
ORB ANNU,NCRMP_GRP,CFK01,4718,10,0,0
ORB FAVE,NCRMP_GRP,CFK01,4718,10,0,0
ORB FRAN,NCRMP_GRP,CFK01,4718,10,0,0
OTH SPE.,NCRMP_GRP,CFK01,4718,10,0,0
PAL SPE.,NCRMP_GRP,CFK01,4718,10,0,0
PEY SPE.,NCRMP_GRP,CFK01,4718,10,0,0
POR ASTR,NCRMP_GRP,CFK01,4718,10,0,0
POR PORI,NCRMP_GRP,CFK01,4718,10,0.003,0.018210681997549747
POR SPE.,NCRMP_GRP,CFK01,4718,10,0,0
PSE CLIV,NCRMP_GRP,CFK01,4718,10,0,0
PSE STRI,NCRMP_GRP,CFK01,4718,10,0,0
RAM SPE.,NCRMP_GRP,CFK01,4718,10,0,0
RHO CRUS,NCRMP_GRP,CFK01,4718,10,0.001,0.010524482448944618
SID RADI,NCRMP_GRP,CFK01,4718,10,0.001,0.010524482448944618
SID SIDE,NCRMP_GRP,CFK01,4718,10,0.002,0.014876414568821258
SOL BOUR,NCRMP_GRP,CFK01,4718,10,0.001,0.010524482448944618
SOL SPE.,NCRMP_GRP,CFK01,4718,10,0,0
SPO OTHE,NCRMP_GRP,CFK01,4718,10,0.047,0.07047147853822011
STE INTE,NCRMP_GRP,CFK01,4718,10,0.002,0.014876414568821258
TUR FREE,NCRMP_GRP,CFK01,4718,10,0,0
TUR SEDI,NCRMP_GRP,CFK01,4718,10,0.27599999999999997,0.14884759715286924
ACR CERV,NCRMP_GRP,CFK02,30239,20,0,0
ACR PALM,NCRMP_GRP,CFK02,30239,20,0,0
AGA AGAR,NCRMP_GRP,CFK02,30239,20,5e-4,0.005126912821894866
AGA HUMI,NCRMP_GRP,CFK02,30239,20,0,0
AGA LAMA,NCRMP_GRP,CFK02,30239,20,0,0
AGA SPE.,NCRMP_GRP,CFK02,30239,20,0,0
BAR SUB.,NCRMP_GRP,CFK02,30239,20,0.175,0.08714160005149965
CLI SPE.,NCRMP_GRP,CFK02,30239,20,0.0025,0.011452649980410448
COL NATA,NCRMP_GRP,CFK02,30239,20,5e-4,0.005126912821894866
CYA SPE.,NCRMP_GRP,CFK02,30239,20,0.003,0.012542604782728672
DIC SPE.,NCRMP_GRP,CFK02,30239,20,0.051500000000000004,0.05068760993558486
DIC STOK,NCRMP_GRP,CFK02,30239,20,0.001,0.007248735874781513
DIP LABY,NCRMP_GRP,CFK02,30239,20,0,0
EUS FAST,NCRMP_GRP,CFK02,30239,20,0,0
GOR ENCR,NCRMP_GRP,CFK02,30239,20,0.044,0.04703648022891237
GOR GORG,NCRMP_GRP,CFK02,30239,20,0.037000000000000005,0.043290593207265644
HAL SPE.,NCRMP_GRP,CFK02,30239,20,0.006,0.017711214742008527
HEL CUCU,NCRMP_GRP,CFK02,30239,20,5e-4,0.005126912821894866
ISO SINU,NCRMP_GRP,CFK02,30239,20,5e-4,0.005126912821894866
LOB SPE.,NCRMP_GRP,CFK02,30239,20,0,0
MAC CALC,NCRMP_GRP,CFK02,30239,20,0.026000000000000002,0.03649603494604414
MAC FLES,NCRMP_GRP,CFK02,30239,20,0.029000000000000005,0.038484703527826014
MAD DECA,NCRMP_GRP,CFK02,30239,20,0,0
MAG SPE.,NCRMP_GRP,CFK02,30239,20,0.042,0.04600308228166704
MEA MEAN,NCRMP_GRP,CFK02,30239,20,0,0
MIL SPE.,NCRMP_GRP,CFK02,30239,20,0.009000000000000001,0.02165896070233833
MON CAVE,NCRMP_GRP,CFK02,30239,20,0.009,0.02165896070233833
ORB ANNU,NCRMP_GRP,CFK02,30239,20,0.0035000000000000005,0.013544164038927817
ORB FAVE,NCRMP_GRP,CFK02,30239,20,0.028500000000000004,0.038161317828988225
ORB FRAN,NCRMP_GRP,CFK02,30239,20,0,0
OTH SPE.,NCRMP_GRP,CFK02,30239,20,0.001,0.007248735874781513
PAL SPE.,NCRMP_GRP,CFK02,30239,20,0.0075,0.01978679347192788
PEY SPE.,NCRMP_GRP,CFK02,30239,20,0.002,0.010246128538506006
POR ASTR,NCRMP_GRP,CFK02,30239,20,0.0095,0.022246852426170045
POR PORI,NCRMP_GRP,CFK02,30239,20,0.011,0.023920707453275524
POR SPE.,NCRMP_GRP,CFK02,30239,20,0.001,0.007248735874781513
PSE CLIV,NCRMP_GRP,CFK02,30239,20,0,0
PSE STRI,NCRMP_GRP,CFK02,30239,20,0,0
RAM SPE.,NCRMP_GRP,CFK02,30239,20,0,0
RHO CRUS,NCRMP_GRP,CFK02,30239,20,0.011,0.023920707453275524
SID RADI,NCRMP_GRP,CFK02,30239,20,0.006,0.017711214742008527
SID SIDE,NCRMP_GRP,CFK02,30239,20,0.054000000000000006,0.05183486591719844
SOL BOUR,NCRMP_GRP,CFK02,30239,20,0.002,0.010246128538506006
SOL SPE.,NCRMP_GRP,CFK02,30239,20,0.0015,0.008875630123946333
SPO OTHE,NCRMP_GRP,CFK02,30239,20,0.0695,0.05832169298806636
STE INTE,NCRMP_GRP,CFK02,30239,20,0.013500000000000002,0.026466405391905555
TUR FREE,NCRMP_GRP,CFK02,30239,20,0.035,0.04214802317792013
TUR SEDI,NCRMP_GRP,CFK02,30239,20,0.3065,0.10573481347431926
ACR CERV,NCRMP_GRP,CFK03,15652,9,0,0
ACR PALM,NCRMP_GRP,CFK03,15652,9,0,0
AGA AGAR,NCRMP_GRP,CFK03,15652,9,0.0011111111111111111,0.011775177053374686
AGA HUMI,NCRMP_GRP,CFK03,15652,9,0,0
AGA LAMA,NCRMP_GRP,CFK03,15652,9,0,0
AGA SPE.,NCRMP_GRP,CFK03,15652,9,0,0
BAR SUB.,NCRMP_GRP,CFK03,15652,9,0.08777777777777779,0.10001674679264633
